place,state_or_province,meeting_date,committee,doc_format,meeting_id,site_type,doc_type,url
nashville,,,,pdf,nashville_granicus___None,granicus,agenda,
nashville,,,,pdf,nashville_granicus___None,granicus,minutes,
nashville,,,,video,nashville_granicus___None,granicus,video,
nashville,,,,mp3,nashville_granicus___None,granicus,audio,
nashville,,,,mp4,nashville_granicus___None,granicus,video,
nashville,,,,pdf,nashville_granicus___None,granicus,agenda_packet,
nashville,,,,pdf,nashville_granicus___None,granicus,agenda,
nashville,,,,pdf,nashville_granicus___None,granicus,minutes,
nashville,,,,video,nashville_granicus___None,granicus,video,
nashville,,,,mp3,nashville_granicus___None,granicus,audio,
nashville,,,,mp4,nashville_granicus___None,granicus,video,
nashville,,,,pdf,nashville_granicus___None,granicus,agenda_packet,
nashville,,,,pdf,nashville_granicus_None_None_None,granicus,agenda,
nashville,,,,pdf,nashville_granicus_None_None_None,granicus,minutes,
nashville,,,,video,nashville_granicus_None_None_None,granicus,video,
nashville,,,,mp3,nashville_granicus_None_None_None,granicus,audio,
nashville,,,,mp4,nashville_granicus_None_None_None,granicus,video,
nashville,,,,pdf,nashville_granicus_None_None_None,granicus,agenda_packet,
