place,state_or_province,meeting_date,meeting_time,committee_name,meeting_id,asset_type,url,scraped_by,content_type,content_length
westchester2,pa,2015-10-13,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10132015-240,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10132015-240,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-09-16,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09162015-228,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09162015-228,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-09-15,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09152015-227,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09152015-227,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-10-14,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10142015-234,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10142015-234,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-09-09,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09092015-220,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09092015-220,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-09-24,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09242015-233,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09242015-233,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-10-13,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10132015-236,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10132015-236,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-09-29,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09292015-231,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09292015-231,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-10-14,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10142015-237,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10142015-237,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-09-09,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09092015-223,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09092015-223,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-10-13,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10132015-238,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10132015-238,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-10-14,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10142015-239,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10142015-239,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-09-09,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09092015-226,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09092015-226,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-09-22,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09222015-230,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_09222015-230,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
westchester2,pa,2015-10-12,00:00:00,,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10122015-229,agenda,http://pa-westchester2.civicplus.com/AgendaCenter/ViewFile/Agenda/_10122015-229,civicplus.py_v2020-07-09,text/html; charset=utf-8,184
